地点番号,地点名,国名,緯度,経度,日平均気温,日最高気温,日最低気温,日降水量
01045,NORDSTRAUMIKVAENANGEN,ノルウェー,69.83,21.88,-4.9,-3.7,-5.4,0.0
01046,SORKJOSEN,ノルウェー,69.78,20.95,-6.8,-6.3,-9.2,
01047,カウトケイノ,ノルウェー,68.98,23.03,-10.7,-9.5,-21.7,0.3
01049,ALTALUFTHAVN,ノルウェー,69.97,23.35,-8.0,-6.8,-9.4,0.0
01052,ハンメルフェスト,ノルウェー,70.67,23.67,-4.0,-3.0,-5.6,0.6
01055,FRUHOLMENLH,ノルウェー,71.08,23.97,-1.1,0.4,-3.2,
01057,CUOVDDATMOHKKI,ノルウェー,69.37,24.42,-18.1,-10.0,-26.3,0.0
01058,SUOLOVUOPMILULIT,ノルウェー,69.57,23.53,-12.8,-11.1,-15.8,0.2
01059,BANAK,ノルウェー,70.05,24.98,-8.6,-6.4,-10.7,
01062,ホペン,ノルウェー,76.50,25.00,-0.2,1.1,-0.9,0.2
01065,カラショク,ノルウェー,69.45,25.50,-14.8,-7.3,-24.0,0.0
01068,ホンニングスボーグ,ノルウェー,71.00,25.97,-4.6,-3.7,-5.9,0.9
01074,MEHAMNAP,ノルウェー,71.02,27.82,-6.0,8.0,-7.7,0.0
01076,TANABRU,ノルウェー,70.20,28.15,-12.9,-8.0,-18.3,0.0
01078,SLETTNESLH,ノルウェー,71.08,28.22,-5.7,-4.5,-6.9,
01082,NYRUD,ノルウェー,69.13,29.23,-10.0,-8.5,-16.7,0.0
01084,PASVIK,ノルウェー,69.45,30.03,-10.2,-8.4,-18.1,0.0
01086,BATSFJORDAP,ノルウェー,70.60,29.70,-10.1,-7.8,-12.5,
01088,バトセ,ノルウェー,70.05,29.83,-6.4,-5.5,-10.5,
01089,ヒルケネス空港,ノルウェー,69.72,29.88,-10.7,-8.5,-14.5,
01092,MAKKAURLH,ノルウェー,70.70,30.07,-7.0,-5.5,-7.6,
01098,バルデ,ノルウェー,70.37,31.08,-5.7,-3.5,-8.9,0.3
01099,VARDOAP,ノルウェー,70.35,31.03,-6.7,-4.4,-10.7,
01102,SKLINNALH,ノルウェー,65.20,10.98,-1.7,-0.6,-2.5,
01105,ROTVAER,ノルウェー,68.37,15.93,-2.4,-1.7,-3.7,
01107,レスト（飛行場）,ノルウェー,67.52,12.10,0.4,0.8,-0.8,0.0
01108,ベガ島／VALLSJO,ノルウェー,65.70,11.85,-4.6,-3.8,-6.0,0.0
01112,ブレンネイスン,ノルウェー,65.45,12.22,-2.3,-1.9,-3.7,
01114,REIPA,ノルウェー,66.90,13.63,-6.8,-4.5,-8.9,0.0
01115,MYKEN,ノルウェー,66.75,12.48,-1.3,-1.0,-1.6,0.0
01116,サンネスシェーン／STOKKA,ノルウェー,65.95,12.47,-4.3,-3.8,-6.6,
01117,ティエッタ,ノルウェー,65.82,12.42,-5.0,-4.9,-5.6,0.0
01121,SOLVAERIII,ノルウェー,66.37,12.60,-2.9,-2.5,-3.3,
01122,モーシェーン　KJAERSTAD,ノルウェー,65.78,13.22,-16.0,-15.5,-17.4,0.0
01124,SNASA,ノルウェー,64.15,12.47,-9.3,-7.3,-15.9,0.0
01132,MAJAVATNV,ノルウェー,65.15,13.37,-13.1,-9.3,-18.2,0.0
01133,LAKSFORS,ノルウェー,65.62,13.28,-16.8,-15.5,-18.1,0.0
01135,SELJELIA,ノルウェー,66.12,13.58,-12.0,-11.3,-12.8,0.0
01139,VAEROYHELIPORT,ノルウェー,67.65,12.72,0.6,1.3,-0.1,
01143,DRAG-AJLUOKTA,ノルウェー,68.03,16.08,-4.7,-3.0,-6.7,0.0
01144,HELLIGVAERII,ノルウェー,67.40,13.88,-2.5,-1.9,-3.2,
01146,SKAMDAL,ノルウェー,66.23,13.88,-9.8,-9.2,-11.2,0.0
01147,VARNTRESK,ノルウェー,65.82,14.18,-12.3,-11.0,-14.1,0.0
01148,STORFORSHEI,ノルウェー,66.38,14.52,-19.2,-17.8,-20.0,
01150,HJARTASEN,ノルウェー,66.48,14.95,-17.6,-17.1,-18.7,0.0
01151,モーイラーナ／ROSSVOLL,ノルウェー,66.35,14.30,-13.7,-11.3,-15.1,
01152,ボーデ,ノルウェー,67.27,14.35,-5.1,-4.4,-6.3,0.0
01156,BOIVESTERALEN,ノルウェー,68.60,14.42,0.4,0.8,-0.4,0.2
01158,SETSA,ノルウェー,67.15,15.48,-10.5,-9.5,-13.0,0.0
01160,SKROVALH,ノルウェー,68.15,14.65,-0.6,0.2,-1.9,
01161,スボールバル,ノルウェー,68.23,14.67,-0.9,-0.5,-1.9,
01162,ストクマルクネス／スカーイェン,ノルウェー,68.57,15.02,-0.8,-0.3,-1.8,
01169,SALTDAL-NORDNES,ノルウェー,66.93,15.30,-13.7,-12.3,-15.7,0.0
01180,ハルスター,ノルウェー,68.80,16.53,-4.4,-3.8,-5.9,0.1
01183,EVENESAP,ノルウェー,68.48,16.68,-5.9,-4.6,-8.2,
01192,STRAUMSNES,ノルウェー,68.42,17.65,-8.5,-7.2,-9.9,0.0
01198,DIVIDALENII,ノルウェー,68.77,19.70,-11.9,-9.6,-14.5,0.0
01199,SIHCCAJAVRI,ノルウェー,68.75,23.53,-10.4,-10.0,-11.3,0.0
01203,KRAKENES,ノルウェー,62.03,4.98,2.7,3.5,1.7,
01209,ORSTA-VOLDAAP,ノルウェー,62.17,6.07,-3.1,-1.9,-8.6,
01210,オーレスン,ノルウェー,62.55,6.10,1.0,1.6,-0.3,
01212,ONAII,ノルウェー,62.85,6.53,2.8,3.7,1.7,
01214,REKDAL,ノルウェー,62.65,6.75,-1.9,-1.5,-2.3,
01217,モルデ,ノルウェー,62.73,7.25,-4.1,-1.8,-5.6,
01218,TAFJORD,ノルウェー,62.22,7.42,-1.1,0.1,-4.1,0.0
01220,MANNEN,ノルウェー,62.45,7.77,-7.4,-4.5,-9.8,0.0
01221,TAGDALEN,ノルウェー,63.05,9.07,-8.1,-3.9,-12.3,0.0
01223,クリスティアンスン,ノルウェー,63.10,7.80,-1.2,0.3,-2.6,
01225,VEIHOLMEN,ノルウェー,63.52,7.93,2.0,2.8,1.0,
01228,SULA,ノルウェー,63.83,8.47,1.6,4.0,-0.2,
01230,BJORLI,ノルウェー,62.25,8.18,-20.4,-19.9,-22.6,0.0
01232,MARSTEIN,ノルウェー,62.43,7.83,-11.8,-11.3,-12.3,0.0
01233,DOMBAAS,ノルウェー,62.07,9.10,-19.4,-17.7,-21.7,0.0
01234,ORKDAL-THAMSHAMN,ノルウェー,63.30,9.83,-11.2,-7.1,-14.7,0.0
01237,HITRA,ノルウェー,63.52,9.10,-0.6,0.8,-2.0,0.0
01238,FOKSTUGU,ノルウェー,62.10,9.28,-18.2,-14.2,-22.4,0.3
01239,HJERKINNII,ノルウェー,62.22,9.53,-16.1,-11.9,-21.1,0.0
01240,HALTENLH,ノルウェー,64.17,9.40,-0.2,1.5,-1.9,
01241,ORLANDIII,ノルウェー,63.70,9.60,-4.2,-2.7,-5.5,0.0
01242,AFJORDII,ノルウェー,63.95,10.20,-9.2,-8.7,-10.7,0.0
01245,オップダール-SETER,ノルウェー,62.60,9.67,-11.1,-6.3,-14.7,0.0
01250,FOLLDAL-FREDHEIM,ノルウェー,62.12,9.98,,,-31.9,
01253,SOKNEDAL,ノルウェー,62.95,10.17,-11.4,-7.7,-14.8,0.1
01254,KOTSOY,ノルウェー,62.97,10.55,-13.4,-10.5,-16.4,0.0
01257,TRONDHEIM/VOLL,ノルウェー,63.40,10.45,-9.0,-6.3,-11.8,0.0
01259,BUHOLMRASALH,ノルウェー,64.40,10.45,-1.1,1.3,-3.6,
01262,NORDOYANLH,ノルウェー,64.78,10.53,-1.8,-0.2,-3.0,
01265,チュンセット-HANSMOEN,ノルウェー,62.27,10.72,-23.3,-18.0,-27.5,0.0
01270,KVITHAMAR,ノルウェー,63.48,10.87,-10.9,-9.2,-13.7,0.0
01271,トロンヘイム／VERNES,ノルウェー,63.45,10.93,-10.4,-9.0,-12.9,0.0
01272,FROSTA,ノルウェー,63.55,10.68,-8.1,-6.8,-10.2,0.0
01273,SELBU,ノルウェー,63.22,11.00,-11.9,-9.1,-14.4,0.0
01277,ステインヘール,ノルウェー,64.02,11.45,-10.5,-9.5,-13.6,0.0
01281,NAMSSKOGAN,ノルウェー,64.73,12.83,-14.9,-12.9,-18.1,0.0
01282,レルビーク,ノルウェー,64.83,11.13,-3.6,-2.8,-5.0,
01287,SOLENDET,ノルウェー,62.67,11.82,-20.8,-18.6,-23.7,0.5
01288,レーロース,ノルウェー,62.57,11.35,-26.2,-21.9,-29.3,0.3
01290,ナムソス,ノルウェー,64.47,11.57,-9.5,-9.2,-11.3,
01291,GARTLAND,ノルウェー,64.52,12.38,-17.1,-16.9,-18.7,0.0
01293,メローケル-EGGE,ノルウェー,63.40,11.72,-14.3,-11.2,-17.2,0.0
01304,YTTEROYANELH,ノルウェー,61.57,4.67,3.0,3.6,2.3,
01307,フェジェ,ノルウェー,60.77,4.72,1.2,2.1,0.5,
01308,FURUNESET,ノルウェー,61.28,5.03,-2.0,-1.0,-3.6,0.0
01310,フローレ,ノルウェー,61.57,5.02,2.0,2.7,1.0,
01311,ベルゲン／フレースラン空港,ノルウェー,60.28,5.22,-1.6,0.7,-4.0,0.0
01314,FOSSMARK,ノルウェー,60.52,5.72,-4.0,-2.7,-5.3,0.0
01315,EVANGER,ノルウェー,60.63,6.10,-10.3,-9.7,-11.0,0.0
01317,ベルゲン,ノルウェー,60.37,5.33,-2.1,0.1,-3.3,0.0
01320,サナネ／ANDA,ノルウェー,61.82,6.10,-3.0,-2.4,-4.7,
01321,ストリュン,ノルウェー,61.90,6.55,-6.5,-5.6,-8.3,0.0
01323,フェールデ,ノルウェー,61.38,5.75,-4.7,-3.4,-7.2,
01326,MODALENIII,ノルウェー,60.85,5.97,-7.7,-7.5,-9.1,0.0
01327,KVAMSKOGEN-JONSHOGDI,ノルウェー,60.38,5.95,-9.8,-6.7,-11.1,0.0
01329,KVAMSOY,ノルウェー,60.35,6.27,-2.2,-1.3,-3.2,0.0
01332,FJAERLAND-BREMUSEET,ノルウェー,61.42,6.75,-14.1,-11.3,-15.5,0.0
01337,VOSSEVANGEN,ノルウェー,60.62,6.42,-14.4,-13.0,-15.3,0.0
01338,VANGSNES,ノルウェー,61.17,6.63,-4.5,-3.6,-5.4,0.0
01340,FETIEIDFJORD,ノルウェー,60.40,7.27,-12.0,-10.6,-13.6,0.0
01342,ULLENSVANG,ノルウェー,60.32,6.65,-6.2,-3.8,-6.9,0.0
01344,MJOLFJELL,ノルウェー,60.70,6.93,-14.0,-11.4,-15.5,0.0
01345,KLEVAVATNET,ノルウェー,60.72,7.20,-13.1,-11.4,-14.9,0.0
01346,MIDTSTOVA,ノルウェー,60.65,7.27,-11.2,-8.3,-13.9,0.0
01347,SOGNDALAP,ノルウェー,61.15,7.13,-11.4,-9.9,-13.2,
01350,FINSEVATN,ノルウェー,60.58,7.52,-23.9,-19.4,-26.8,0.0
01352,SANDHAUG,ノルウェー,60.18,7.47,-25.8,-22.6,-28.4,0.0
01355,LAERDALIV,ノルウェー,61.10,7.50,-9.8,-8.8,-11.4,0.0
01357,HOLLEKOLTEN,ノルウェー,60.87,8.52,-19.8,-17.7,-21.7,
01358,HEMSEDALII,ノルウェー,60.85,8.58,-27.4,-26.7,-28.9,
01359,GEILO-OLDEBRATEN,ノルウェー,60.52,8.18,-25.6,-21.8,-29.5,0.0
01360,BRATA-SLETTOM,ノルウェー,61.88,7.88,-22.9,-22.0,-23.9,0.0
01361,GROTLIIII,ノルウェー,62.00,7.65,-27.3,-23.4,-30.4,
01362,JUVVASSHOE,ノルウェー,61.67,8.37,-10.0,-7.1,-12.0,
01364,ヤイロ-GEILOSTOLEN,ノルウェー,61.17,8.10,-24.0,-22.3,-27.7,0.0
01365,BEITOSTOLENII,ノルウェー,61.25,8.92,-16.1,-13.1,-22.0,0.2
01366,SOGNEFJELL,ノルウェー,61.55,7.98,-14.7,-11.6,-18.2,0.0
01367,ファゲルネス,ノルウェー,60.98,9.23,-19.0,-17.4,-20.6,0.0
01368,FAGERNESAP,ノルウェー,61.00,9.28,-19.7,-16.7,-24.4,
01370,SKABU,ノルウェー,61.52,9.40,-19.4,-16.2,-23.0,0.0
01371,LOKENIVOLBU,ノルウェー,61.12,9.05,-20.9,-19.5,-23.2,0.0
01373,NESBYEN-TODOKK,ノルウェー,60.57,9.13,-17.1,-15.9,-20.4,0.0
01375,KVITFJELL,ノルウェー,61.45,10.12,-14.0,-12.2,-17.0,
01376,GULSVIKII,ノルウェー,60.37,9.60,-12.7,-11.5,-14.1,0.0
01378,リルハンメル-SAETHERE,ノルウェー,61.08,10.47,-13.7,-12.5,-15.6,0.0
01380,VENABU,ノルウェー,61.65,10.10,-17.2,-12.7,-23.8,0.7
01381,APELSVOLL,ノルウェー,60.70,10.87,-10.5,-9.9,-11.7,0.0
01382,KISE,ノルウェー,60.77,10.80,-10.2,-9.8,-11.4,0.0
01383,EVENSTAD-DIH,ノルウェー,61.42,11.07,-15.5,-14.8,-18.7,
01384,オスロ,ノルウェー,60.20,11.07,,,-7.4,0.0
01385,HAMAR,ノルウェー,60.82,11.07,-10.6,-9.9,-12.5,0.1
01386,HAMARII,ノルウェー,60.80,11.08,-10.2,-8.4,-13.8,0.0
01387,FAVANG,ノルウェー,61.45,10.18,-15.7,,-15.1,0.0
01389,レーナ-　HAUGEDALEN,ノルウェー,61.18,11.37,-14.6,-13.3,-19.0,0.0
01392,FLISAII,ノルウェー,60.60,12.00,-7.7,-7.1,-8.8,0.0
01393,ドレブシェー,ノルウェー,61.88,12.03,-14.9,-11.8,-21.7,0.2
01397,TRYSILVEGSTASJON,ノルウェー,61.28,12.27,-9.5,-7.8,-12.6,5.0
01403,ウチラ,ノルウェー,59.30,4.87,0.3,1.2,-1.0,0.0
01406,SLATTEROYLH,ノルウェー,59.90,5.07,-0.5,0.9,-1.8,
01408,ハウゲスン／カルム島,ノルウェー,59.33,5.18,-2.6,-1.1,-5.4,
01411,KVITSOY-NORDBO,ノルウェー,59.07,5.40,-0.5,0.6,-1.4,0.0
01412,OBRESTAD,ノルウェー,58.65,5.55,-3.0,-1.0,-6.7,0.0
01413,SAERHEIM,ノルウェー,58.75,5.65,-3.0,-1.4,-4.7,0.0
01414,ROVER,ノルウェー,59.43,5.07,-1.0,0.1,-1.9,
01415,スタバンゲル,ノルウェー,58.88,5.63,-3.9,0.0,-7.1,0.0
01416,STAVANGERVAALAND,ノルウェー,58.95,5.72,-2.2,-0.2,-3.9,0.0
01417,NEDREVATS,ノルウェー,59.48,5.75,-9.3,-4.2,-11.7,0.0
01418,AUSTEVOLL,ノルウェー,60.02,5.20,-0.9,1.3,-2.0,0.0
01419,LIARVATN,ノルウェー,59.05,6.12,-8.9,-6.7,-10.1,0.0
01422,FISTER_SIGMUNDSTAD,ノルウェー,59.15,6.03,-3.4,-2.5,-4.1,0.0
01424,ソウダ,ノルウェー,59.63,6.35,-9.2,-5.0,-10.8,0.0
01425,EIKHOVE,ノルウェー,58.50,6.50,-6.2,-2.2,-10.1,0.0
01426,EIGEROYA,ノルウェー,58.43,5.87,-1.8,0.0,-3.3,
01427,LISTALH,ノルウェー,58.10,6.57,-3.6,-0.8,-5.8,0.0
01430,MANDALIII,ノルウェー,58.02,7.45,-3.4,-1.8,-5.0,0.0
01431,SIRDAL-SINNES,ノルウェー,58.92,6.90,-13.7,-9.6,-17.1,0.0
01434,VAAGSLI,ノルウェー,59.75,7.35,-20.3,-16.4,-24.3,0.0
01436,リンデスネス岬,ノルウェー,57.97,7.03,-2.3,-0.5,-4.2,
01439,KONSMO-HOYLAND,ノルウェー,58.27,7.37,-6.1,-3.1,-9.2,0.0
01440,BLASJO,ノルウェー,59.33,6.87,-14.0,,-16.2,
01441,HOVDEN-LUNDANE,ノルウェー,59.58,7.40,-20.8,-12.6,-26.2,1.3
01442,ビュグランズフィヨール-SOLBAK,ノルウェー,58.67,7.80,-6.2,-3.7,-8.2,0.0
01444,VALLE,ノルウェー,59.20,7.52,-10.8,-6.9,-17.3,0.0
01447,HOYDALSMOII,ノルウェー,59.48,8.18,-12.4,-10.9,-16.1,0.0
01448,OKSOYLH,ノルウェー,58.07,8.05,-2.2,-1.1,-3.4,
01449,GJERSTAD,ノルウェー,58.87,9.02,-4.4,-3.5,-5.3,0.0
01450,MOSSTRANDII,ノルウェー,59.83,8.17,-18.5,-14.5,-20.5,0.1
01452,クリスティアンサン／KJEVIK,ノルウェー,58.20,8.07,-3.6,-1.9,-6.0,0.0
01453,クリスティアンサン／KJEVIK,ノルウェー,58.60,8.40,-5.5,-3.7,-8.3,0.0
01455,TVEITSUND,ノルウェー,59.02,8.52,-6.3,-5.3,-7.5,0.0
01459,NELAUG,ノルウェー,58.65,8.62,-5.2,-3.6,-6.9,0.0
01460,GULLHOLMEN,ノルウェー,59.43,10.57,-3.2,-2.9,-3.9,
01462,PORSGRUNN,ノルウェー,59.08,9.65,-4.3,-3.8,-4.9,0.0
01463,AS,ノルウェー,59.65,10.77,-5.2,-4.8,-5.7,0.0
01464,LANDVIK,ノルウェー,58.33,8.52,-2.9,-2.0,-4.3,0.0
01465,TORUNGENLH,ノルウェー,58.38,8.78,-2.8,-1.7,-4.0,0.0
01466,KJELLERAP,ノルウェー,59.97,11.03,-5.5,-4.7,-6.8,
01467,LYNGORLH,ノルウェー,58.63,9.15,-3.4,-2.8,-4.6,
01469,HONEFOSS-HOYBY,ノルウェー,60.15,10.23,-8.6,-8.0,-9.2,0.2
01470,クバルフ,ノルウェー,59.37,9.20,-5.5,-4.6,-6.7,0.0
01471,VEGGLIII,ノルウェー,60.03,9.13,-13.7,-12.0,-16.6,0.0
01473,コングスベルBRANNSTASJ,ノルウェー,59.62,9.63,-9.8,-9.0,-11.8,1.0
01476,JOMFRULANDLH,ノルウェー,58.85,9.57,-3.3,-2.6,-4.1,0.0
01477,コングスベルIV,ノルウェー,59.70,10.13,-8.5,-7.8,-9.5,0.0
01478,SVENNERLH,ノルウェー,58.97,10.13,-3.9,-3.0,-4.7,
01480,ドラメン／BERSKOG,ノルウェー,59.75,10.12,-7.3,-6.5,-8.0,0.0
01481,MELSOM,ノルウェー,59.22,10.33,-5.7,-5.1,-6.3,0.0
01482,FERDERLH,ノルウェー,59.02,10.52,-1.6,-1.0,-2.6,
01483,TORP,ノルウェー,59.18,10.25,-6.0,,,
01484,AURSKOG,ノルウェー,59.90,11.57,-5.9,-5.4,-7.9,0.0
01485,SANDE-GALLEBERG,ノルウェー,59.62,10.20,-6.9,-6.2,-8.3,0.0
01486,アシェル,ノルウェー,59.85,10.43,-7.8,-7.1,-8.7,0.0
01488,オスロ／フォルネブ国際空港跡地,ノルウェー,60.12,10.82,-7.0,-5.9,-8.3,0.2
01489,オスロ-BLINDERN,ノルウェー,60.05,10.68,-8.4,-7.4,-9.6,1.3
01490,TRYVANNSHOGDA,ノルウェー,59.98,10.67,-8.0,-6.8,-9.7,0.0
01492,オスロ,ノルウェー,59.93,10.72,-4.6,-3.8,-5.9,0.1
01493,サルプスボル,ノルウェー,59.28,11.10,-4.0,-3.3,-4.6,
01494,RYGGE,ノルウェー,59.37,10.78,-4.6,-4.0,-5.0,0.0
01495,STROMTANGENLH,ノルウェー,59.15,10.82,-4.0,-3.2,-4.8,
02013,RITSEM,スウェーデン,67.72,17.47,-17.4,-15.4,-19.8,0.0
02019,KATTERJAKKA,スウェーデン,68.42,18.17,-17.5,-16.0,-18.7,0.0
02024,ストゥーラシェファレト国立公園,スウェーデン,67.48,18.28,-20.1,-18.5,-23.9,
02029,TARFALA,スウェーデン,67.90,18.60,-17.0,-15.6,-20.1,
02031,RENSJON,スウェーデン,68.07,19.83,-20.3,-17.7,-25.3,0.1
02036,NIKKALUOKTA,スウェーデン,67.85,19.02,-31.9,-32.3,-34.9,0.0
02038,LATNIVAARA,スウェーデン,67.25,20.27,-11.1,-10.5,-13.3,0.6
02044,キルナ,スウェーデン,67.82,20.33,-12.9,-10.3,-17.9,
02049,イエリバレ,スウェーデン,67.13,20.63,-11.6,-11.2,-11.5,1.2
02055,NAIMAKKA,スウェーデン,68.67,21.52,-16.7,,-16.8,0.0
02064,SAITTAROVA,スウェーデン,67.33,22.23,-10.9,-10.7,-11.4,0.6
02072,PARKALOMPOLO,スウェーデン,67.72,22.82,-10.5,-9.7,-11.0,0.3
02081,KARESUANDO,スウェーデン,68.43,22.43,-11.1,-9.5,-16.3,0.1
02095,PAJALA,スウェーデン,67.20,23.38,-9.9,-8.2,-11.3,0.8
02101,HEMAVAN,スウェーデン,65.80,15.07,-22.8,-21.4,-26.5,
02102,STEKENJOKK,スウェーデン,65.08,14.50,-13.5,-12.9,-15.8,
02103,HEMAVAN-GIEREVARTO,スウェーデン,65.77,15.05,-14.1,-13.4,-15.6,
02110,GIELAS,スウェーデン,65.32,15.07,-22.2,-19.7,-28.3,0.1
02119,KVIKKJOKKARRENJARKA,スウェーデン,66.88,18.02,-17.7,-14.9,-23.8,0.1
02121,MIERKENIS,スウェーデン,66.67,16.10,-25.0,-20.2,-28.5,0.3
02124,アルフェイプルーグ,スウェーデン,66.05,17.83,-12.8,-11.8,-13.6,0.0
02126,GUNNARN,スウェーデン,65.00,17.68,-11.0,,-12.9,0.2
02135,BURESJON,スウェーデン,65.55,17.85,-11.9,-11.0,-13.9,0.6
02141,TJAKAAPE,スウェーデン,66.30,19.20,-11.4,-11.0,-11.8,0.0
02147,マーロ-BRANNAN,スウェーデン,65.15,18.58,-9.9,-8.1,-11.5,0.4
02149,アルビーズヤウール,スウェーデン,65.58,19.27,-11.9,-10.3,-14.0,0.3
02151,ヨックモック空港,スウェーデン,66.48,20.17,-13.3,-12.3,-14.6,1.4
02154,ビドセル空港,スウェーデン,65.87,20.15,-11.2,-10.9,-12.4,2.5
02161,NATTAVAARA,スウェーデン,66.75,20.92,-11.0,,,0.6
02171,ブーデン,スウェーデン,65.80,21.63,-9.5,-8.9,-9.9,0.9
02173,ALVSBYN,スウェーデン,65.67,21.05,-9.4,,-9.2,0.2
02174,LAKATRASK,スウェーデン,66.27,21.12,-10.5,-9.4,-13.3,0.5
02176,PITE-RONNSKAR,スウェーデン,65.03,21.55,-6.7,-6.0,-7.4,0.2
02181,OVERKALIX-SVARTBYN,スウェーデン,66.25,22.83,-8.4,-6.8,-10.8,0.7
02184,PAHAROVA,スウェーデン,66.80,22.33,-9.7,-8.6,-10.8,0.4
02186,LULEA-KALLAX,スウェーデン,65.53,22.12,-7.6,-7.5,-8.3,0.7
02188,RODKALLEN,スウェーデン,65.30,22.37,-4.3,-1.9,-7.2,1.0
02191,STORON,スウェーデン,65.68,23.10,-3.8,-2.9,-5.3,7.0
02197,HAPARANDA,スウェーデン,65.82,24.10,-7.1,-6.4,-7.7,0.8
02199,YLINENJARVI,スウェーデン,66.62,23.47,-8.9,-7.4,-11.4,1.4
02207,STORLIEN-STORVALLENA,スウェーデン,63.27,12.12,-18.4,-8.8,-27.3,0.0
02209,スュラーナ,スウェーデン,63.03,12.27,-11.8,-6.7,-17.2,
02210,BLAHAMMARENA,スウェーデン,63.18,12.17,-11.8,-6.9,-16.7,
02219,GADDEDEA,スウェーデン,64.50,14.22,-10.2,-9.4,-14.1,0.1
02221,KORSVATTNET,スウェーデン,63.83,13.50,-15.7,-11.1,-23.4,0.4
02226,エステルスンド,スウェーデン,63.18,14.50,-12.0,-8.3,-17.3,
02230,GUBBHOGEN,スウェーデン,64.22,15.55,-10.3,-8.6,-14.3,0.2
02231,フェリンゲ,スウェーデン,63.67,14.60,-10.2,-9.0,-11.3,0.2
02236,HALLHAXASEN,スウェーデン,63.77,15.32,-10.2,-8.9,,0.2
02242,フーティング,スウェーデン,64.08,16.23,-9.1,-7.7,-11.9,0.2
02243,JUNSELE,スウェーデン,63.68,16.95,-8.7,-7.5,-11.7,1.3
02245,ビルヘルミナ空港,スウェーデン,64.57,16.83,-10.4,-8.8,,0.9
02247,KRANGEDE,スウェーデン,63.15,16.17,-8.1,-7.5,-11.4,0.2
02254,オーセレ,スウェーデン,64.15,17.32,-8.7,-7.2,-10.5,1.3
02260,VASTMARKUM,スウェーデン,63.12,18.25,-4.5,-3.9,-5.6,0.8
02261,リクセレ空港,スウェーデン,64.53,18.72,-9.6,-8.2,-11.6,0.5
02263,フレドリーカ,スウェーデン,64.07,18.35,-8.4,-7.0,-10.1,1.1
02265,HEMLING,スウェーデン,63.65,18.55,-6.7,-5.8,-7.7,0.5
02267,エーンシェルドスビーク空港,スウェーデン,63.40,18.97,-5.7,-5.1,-6.6,
02269,SKAGSUDDE,スウェーデン,63.18,19.02,-3.3,-0.5,-4.2,0.7
02271,NORSJO,スウェーデン,64.92,19.37,-8.9,-8.5,-9.5,0.8
02282,PETISTRASK,スウェーデン,64.57,19.68,-8.4,-8.2,-9.7,0.8
02284,JARNASKLUBB,スウェーデン,63.43,19.67,-4.8,-4.2,-5.4,0.6
02286,ウーメオ,スウェーデン,63.80,20.28,-6.2,-5.9,-7.4,
02287,HOLMON,スウェーデン,63.80,20.85,-3.2,-2.4,-4.2,0.0
02293,シェフテレオ空港,スウェーデン,64.62,21.07,-6.7,-6.6,-7.2,
02297,BJUROKLUBB,スウェーデン,64.47,21.57,-3.7,-2.9,-5.8,1.6
02307,IDREFJALL,スウェーデン,61.88,12.85,-9.4,-8.3,-10.5,
02308,テンネス,スウェーデン,62.45,12.67,-12.6,-11.2,-16.6,0.0
02317,DRAVAGEN,スウェーデン,62.08,13.60,-12.3,-9.6,-19.0,0.1
